,Title,Department,Details,Amount,State,City,Date
655,Pull Start Filter System 5B/T â Rbinnovations.com,Others,Pull Start Filter System 5B/T will protect your engine and make cleaning your engine a thing of the past and the high flow filter allows utmost airfl...,"1,200", Uttar Pradesh,Adari,"May 28, 2019"
656,Fees for getting marriage certificate,Marriage Certificate and Registration,Even though I am eligible to get a marriage certificate...I was made to pay 2500...This is illegal ...This happened on 27th May 2019...At 3pm... Pleas...,"2,500", Andhra Pradesh,Gooty,"May 27, 2019"
657,Slim AR15 MLOK Handguard One Piece Free Float,Others,"Get online AR15 (15"") ULTRA-LIGHT Super Slim Mlok Handguard One Piece Free Float AR15 223 5.56 including Steel barrel nut, including 3 stainless shims...","1,200", Andhra Pradesh,Adoni,"May 27, 2019"
658,Natural Glass Tumblers from Oaxaca (Medium) â Hardworkingproducts.com,Others,Beautiful handcrafted drinking glasses & Natural Glass Tumblers from Oaxaca (Medium) made from recycled glass and every medium tumbler is handcrafted ...,"12,000", Delhi,New Delhi,"May 27, 2019"
659,Bribe Paid to BBMP for Getting Occupancy Certificate in Bangalore,Building Construction Approval,"When we purchased our flat in East Bangalore, the builder's representative had said that the Occupancy Certificate (OC) would be received as soon as a...","20,000", Karnataka,Bangalore,"May 27, 2019"
660,The amount was taken and they was a scheme where govt. Job was promised against the money. ,Government Personnel,They is a big scheme running in lucknow RTO office. There are ministers and their drivers involved in the scam. Money is demanded and uneducated peopl...,"6,00,000", Uttar Pradesh,Lucknow,"May 26, 2019"
661,Bribe for cylinder delivery,LPG Gas Cylinder,"Delivery man Pyarelal Jo ki Samarth Indane distributor gas agency me kam karta hai ,cylinder delivery ke time balpurvak riswat liya aur jhagda bhi kiy...",50, Uttar Pradesh,Allahabad,"May 26, 2019"
662,Threatened to take the money,"Fines, Penalties and Rules","I had to travel from secunderabad to lingampally and bought the ticket for the same, but in hurry unforutnately got into hyderabad train and I realize...",360, Telangana,Hyderabad,"May 26, 2019"
663,RTA Corruption,Number Plates and Vehicle Registration,Everyone in Khairtabad RTA Hyderabad are corrupted. The brokers outside ask for a bribe to get the paper work done faster. And when you give money you...,"2,500", Telangana,Hyderabad,"May 26, 2019"
664,Changing the name in rtc ,Migration Certificate,Hello sir I don't no English that mucPlease  call me I m in big trable from one officer don't no to tipe all that problem  please help me. My number  ...,"40,000", Karnataka,Bangalore,"May 25, 2019"
665,Towed vehicle under false pretence,Driving and Transport Business,"The thug like person acquired money from me using google pay, his id: q39736094...",600, Karnataka,Bangalore,"May 24, 2019"
666,"Cali Pods Distributors â Sea Pods, Plus Pods - Eon Smoke & Eon Pods",Others,"Now you can wholesale best and inexpensive Cali pods, Vapor, Eliquid, Eon pods, Cali Vape pods, Electronic Cigarettes, Cali disposables, Delicious pod...","1,200", Andhra Pradesh,Adoni,"May 24, 2019"
667,"Cali Disposables Pods, Disposable Vape & Disposable E-Cigarettes at Calivapepods.com",Others,"Find the most flavored, inexpensive and best daily cali disposables, disposables vape, disposables vape pods calivapepods.com as we are locally owned ...","1,200", Delhi,New Delhi,"May 24, 2019"
668,Cali Vape Pods âGet Juul Compatible Pods at Calivapepods.com,Others,"Find the most inexpensive and top daily vape/vapor, Eliquid deals on calivapepods.com and wholesale JUUL Compatible Pods also we are or Cali Vape Pods...","2,000", Delhi,New Delhi,"May 24, 2019"
669,Bribe to give car paper and driving licence back,"Traffic Fines, Penalties, Rules","IWe were on Express way to Ahmedabad and near the last toll booth at Ahmedabad on 18th May 2019, officer didn't had name tag and we asked his name and...",500, Gujarat,Ahmedabad,"May 24, 2019"
670,Paid bribe for passport verification,Autorickshaws,"Date: 23 may 2019
Place: byappanahalli
Time:6:00pm
Name designation of officer: unknown...",500, Karnataka,Bangalore,"May 23, 2019"
671,Khata certificate & khata extract,Certificates,"I was asked to pay otherwise was told to wait endlessly, besides making several trips to the office....","2,000", Karnataka,Bangalore,"May 23, 2019"
672,Mere pass es electric scooty h..m use lekr ja rha thha rste me police ne ruka li..helmet lincience k,Autorickshaws,"Mere pass ek elecktric scooty h ,, m use lekr vipin garden (mohan garden delhi110059) ke sathh wale naale se ja rha thha wahi corner pr jo police chou...",100, Delhi,New Delhi,"May 23, 2019"
673,Handcrafted Stemless Wine Glasses from Oaxaca at Hardworkingproducts.com,Others,Beautiful handcrafted stemless wine glasses from Oaxaca and made from recycled glass while each glass is handcrafted in Mexico by Xaquixe Glass Studio...,"1,200", Uttar Pradesh,Adari,"May 22, 2019"
674,Ofna Racing and Parts at RBinnovations.com,Others,"Get online best and affordable OFNA Racing and OFNA Racing parts for all OFNA cars, buggies and trucks at best market price in Minoa, NY, USA at https...","1,200", Jharkhand,Adityapur,"May 22, 2019"
675,Just paid 10000 RS to a government employee to correct his own error which he did last month on my w,Bills and Payment,"As I am vacating my government quarters I had to clear out my water bill , so when I came here to do that it turned out that I have a bill of 18000 to...","10,000", Delhi,New Delhi,"May 21, 2019"
676,Mount Rail AR15 Handguard,Others,"Get 13/16"" 5-Slot Medium Riser WEAVER PICATINNY Scope Mount Rail 20mm with Aluminum Alloy Construction and designed for elevating scopes, sights, flas...","2,200", Delhi,New Delhi,"May 20, 2019"
677,Drifting Hoverkart Gokart Attachment Buggy UK,Change of Tariff in Domestic to Commercial,The Ultimate Drifting Kart to fit your Hoverboard UK and it instantly turns your hoverboard into a Drifting Gokart with Lots of fun and Suspension for...,"2,200", Jharkhand,Adityapur,"May 20, 2019"
678,Drive with other state vehicle,Registrations and Licenses,"Today morning around9.20am, i was caught by khaki who has bargade in jollymarg road in kanjurmarg east i.e entrance of jollymarg road from JVLR. The m...",500, Maharashtra,Mumbai,"May 20, 2019"
679,Prabandhak of school is demanding bribe under of donation to college,School or College Related,"College name Shri ram laxman janki inter college, nandganj Ghazipur uttar pradesh
I am the student where in D.L.E.D. course in second year, prabhandha...","20,000", Uttar Pradesh,Ghazipur,"May 18, 2019"
680,ADJUDICATION FEES,Encumbrance Certificate,"I m member of coop society and we had collectively collected first for get conveyance order 14,10,000/- from 141 units and now to get the unit adjudic...","21,85,000", Maharashtra,Mumbai,"May 18, 2019"
681,Asking for bribe for Khata Transfer,Khata,"One of the staffs in BBMP office Vijayanagar named Rathod asked for bribe of 5000 as he had to pay revenue inspector for speeding up process. 
Name: M...","5,000", Karnataka,Bangalore,"May 18, 2019"
682,"Mr Pathan, traffic Cop extracted 4000/- from me.","Traffic Fines, Penalties, Rules","I will start by admitting that I still have not paid the road tax for plying my car in Pune. But that does not make the crime of Mr Pathan less.

Mr P...","4,000", Maharashtra,Pune,"May 18, 2019"
683,I paid a bribe after the completion of  the driving tests.....,Driving Licenses and Tests,Today(i.e.17-05-2019) ....I had successfully completed my driving tests......(I actually done my total payments to the Telangana transport authority b...,600, Telangana,Adilabad,"May 17, 2019"
684,To get NOC from town corporation,Others,In my home town if we want to get work done in municipal corporation . We have to pay bride for each work . In that each work for multiple person we n...,"1,000", Karnataka,Mysore,"May 17, 2019"
685,Introduction To Traxxas Nitro Cars and Trucks,Bills and Payment,"Https://rbinnovations.blogspot.com/2019/05/introduction-to-traxxas-nitro-cars-and.html
https://uberant.com/article/528921-introduction-to-traxxas-nitr...",200, Uttar Pradesh,Adari,"May 17, 2019"
686,Health and Fire License,Registrations and Licenses,"This is a complaint not for any specific officer but for general Health and Fire Licensing process in MCGM (Chembur). 
Common man who invests all hard...","3,00,000", Maharashtra,Mumbai,"May 15, 2019"
687,Marriage registrar office at Ghaziabad openly takes bribe of 300 from everyone.,Certificates,"They force everyone to pay them 300 rupees for the certificate registration, it is so open that even if you visit the place they will ask you to pay. ...",300, Uttar Pradesh,Ghaziabad,"May 15, 2019"
688,N. A. Land mutation documents,Building Construction Approval,"Name of the officer : Suresh
Date of incedent : 31-3-2019
Time of incedent: 1:30pm
Location of he incident: Hagarga Gram Panchayat office, Gulbarga
De...","5,500", Karnataka,Gulbarga,"May 15, 2019"
689,Police acting as rowdies ,"Traffic Fines, Penalties, Rules",The police gaurds stopped me and asked my documents I provided them all the documents and my license was in the digital format . The police refused to...,100, Tamil Nadu,Krishnagiri,"May 14, 2019"
690,Cyclone Cold Air Intake System â Rbinnovations.com,Others,The Cyclone Cold Air Intake System from RBinnovations.com will allow your engine to take in more air on each intake stroke and it is made of high-qual...,"5,500", Jharkhand,Adityapur,"May 14, 2019"
691,Bribe to process khata,Building and Housing,"Bangalore:

Nearly 14 flats of our building, BSR Koorla Residency (BSR KOORLA RESIDENCY
Shankrappa Layout, Prakruthi Nagar, Kogilu, Bengaluru, Karnata...","1,40,000", Karnataka,Bangalore,"May 14, 2019"
692,Transcript certification,College Leaving Certificate,I live in  united states and I requested transcripts from school. I contacted the clerk and he in the email clearly asked me to pay Rs 1000 for him to...,"1,000", Telangana,Hyderabad,"May 13, 2019"
693,Milspec Barrel Nut w/Steel Jam Nut Ring for AR15 Free Float Handguard 223/556 â AR15handguard.com,Others,Buy online most inexpensive and best AR15 223/5.56 Milspec Barrel Nut w/Steel Jam Nut Ring Free Float Handguard 223/556 Machined from aluminum Steel j...,500, Telangana,Adilabad,"May 13, 2019"
694,Marriage certificate related,Certificates,They took money from groomside and cancled my sister's Marriage certificate and now they asking for bribe to restore this again.  We don't have that m...,"1,00,000", Madhya Pradesh,Katni,"May 13, 2019"
695,Buy Handcrafted Mexican Glass and Hand Blown Large Tumbler Glasses at Hardworkingproducts.com,Others,"Buy online best and beautiful handcrafted drinking glasses, Handcrafted Mexican Glass, Hand Blown Large Tumbler Glasses made from recycled glass and l...","3,000", Jharkhand,Adityapur,"May 13, 2019"
696,Replacement Velcro Straps for Hoverkart / Hovercart at Smartboardsuk.com,Others,Shop online replacement hoverkart & hoverboard velcro straps from Smart Boards UK (smartboardsuk.com) at best market price and also we at Smart Boards...,"2,200", Andhra Pradesh,Adoni,"May 13, 2019"
697,Trade License Officer at KMC ( Kolkata Munical Corporation ) at Gariahat Office ,Registrations and Licenses,"The Officer in Charge of Issuing Trade License for Ward 80 ( Pin - 700088 ) who Sits in Gariahat, Kolkata Trade License Office Only Works if Bribe is ...","2,000", West Bengal,Kolkata,"May 12, 2019"
698,Paid Rs 100 to Chowki Police today,Verification and Certificates,There were two polices checking the bikes who are going out of Rajarajeshwari Nagar police Near Channasanda. It comes under RR Nagar Police limits. I ...,100, Karnataka,Bangalore,"May 11, 2019"
699,There is a patwari in our vilage taking bribe,Land Related,A patwari in my village is doing chakbandi of plots under government he isnt doing his work properly in order to do his work he is demanding bribe for...,"32,000", Uttar Pradesh,Bulandshahr,"May  9, 2019"
700,I forced to paid bribe for building approval,Aadhaar Card Process,I applied for building approval in my agaram then village panchayat at Agram to do work done one lady staff asked bribe rupees 30000 finally I paid 15...,"15,000", Tamil Nadu,Kanchipuram,"May  9, 2019"
701,Redcat Shockwave Supercharger & Parts at RBinnovations.com,Others,"Buy online best and affordable supercharger for REDCAT RC Nitro LIGHTNING STR, SHOCKWAVE, TSUNAMI, VOLCANO STX, TORNADO S30, VOLCANO S30, LANDSLIDE LT...","2,200", Madhya Pradesh,Balaghat,"May  8, 2019"
702,Registration bribe,Property Registration,"Gopal , took money for registration of property....",200, Karnataka,Bangalore,"May  8, 2019"
703,UTTAR PRADESH KISAN SARVHIT BIMA YOJNA,Health Insurance,"These personal have taken bribe from me for passing and giving credit of 5 lakhs (entitled as per scheme) .
Udayvir Singh
9259528784
Saurabh Kumar
963...","1,00,000", Uttar Pradesh,Etawah,"May  7, 2019"
704,Bribe on every visit at agriculture department ,Government Personnel,"Clerk named Naresh who issues licenses in agricultural department, yamuna nagar demands bribe everytime whenever one visits to get a license and he vi...","20,000", Haryana,Yamunanagar,"May  7, 2019"
